Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,brand,name,defaultimage,baseprice,jewelrytype,material
dainty-clover-birthstone-gold-necklaces-for-women-trendy-non-tarnish-layered-14k-gold-plated-station-choker-necklace-cute-flower-friendship-necklace-stack-for-wedding-prom-brides-jewelry-gifts,Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts,<p><strong>Solevan Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts</strong>. Type: Necklace. Material: Gold 14K.</p>,Solevan,necklace,"necklace, gold_14k, solevan, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,SOLEVAN-DAINTYCLOV-NA-OS,30,shopify,100,deny,manual,183770,220524,TRUE,TRUE,https://m.media-amazon.com/images/I/61slAf53TGL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts,FALSE,Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts | Solevan,Shop Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts by Solevan. Necklace in Gold 14K.,active,Solevan,Dainty Clover Birthstone Gold Necklaces for Women Trendy Non Tarnish Layered 14K Gold Plated Station Choker Necklace Cute Flower Friendship Necklace Stack for Wedding Prom Brides Jewelry Gifts,https://m.media-amazon.com/images/I/61slAf53TGL._AC_SY300_SX300_QL70_FMwebp_.jpg,183770,necklace,gold_14k
liliewhite-mothers-day-gifts-for-mom-daughter-resin-chunky-beaded-necklace-for-women-minimalistic-modern-statement-necklace-jewelry-accessories-birthday-gift-for-women,LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women,<p><strong>Lilie&White LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women</strong>. Type: Necklace. Material: Resin.</p>,Lilie&White,necklace,"necklace, resin, lilie&white, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,LILIE&WH-LILIE&WHIT-NA-OS,30,shopify,100,deny,manual,390770,468924,TRUE,TRUE,https://m.media-amazon.com/images/I/61+EGz6ZNrL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women,FALSE,LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women | Lilie&White,Shop LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women by Lilie&White. Necklace in Resin.,active,Lilie&White,LILIE&WHITE Mothers Day Gifts for Mom Daughter Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories Birthday Gift for Women,https://m.media-amazon.com/images/I/61+EGz6ZNrL._AC_SY300_SX300_QL70_FMwebp_.jpg,390770,necklace,resin
gold-necklace-for-women-14k-gold-plated-layered-cross-bar-necklace-herringbone-figaro-paperclip-flat-chain-cute-charm-accessories-non-tarnish-jewelry-set-gifts-for-women,Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women,<p><strong>Remmocy Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women</strong>. Type: Ring. Material: Gold 14K.</p>,Remmocy,ring,"ring, gold_14k, remmocy, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,REMMOCY-GOLDNECKLA-NA-OS,30,shopify,100,deny,manual,224020,268824,TRUE,TRUE,https://m.media-amazon.com/images/I/51HCPgtZ7ML._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women,FALSE,Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women | Remmocy,Shop Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women by Remmocy. Ring in Gold 14K.,active,Remmocy,Gold Necklace for Women 14K Gold Plated Layered Cross Bar Necklace Herringbone Figaro Paperclip Flat Chain Cute Charm Accessories Non Tarnish Jewelry Set Gifts for Women,https://m.media-amazon.com/images/I/51HCPgtZ7ML._AC_SY300_SX300_QL70_FMwebp_.jpg,224020,ring,gold_14k
newitin-69-pieces-gold-jewelry-set-for-women-fashion-costume-jewelry-gold-plated-necklace-bracelet-earrings-set-for-women,NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women,<p><strong>Newitin NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women</strong>. Type: Ring. Material: Gold Plated.</p>,Newitin,ring,"ring, gold_plated, newitin, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,NEWITIN-NEWITIN69P-NA-OS,30,shopify,100,deny,manual,367770,441324,TRUE,TRUE,https://m.media-amazon.com/images/I/818BnYh9Q8L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women,FALSE,NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women | Newitin,Shop NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women by Newitin. Ring in Gold Plated.,active,Newitin,NEWITIN 69 Pieces Gold Jewelry Set for Women Fashion Costume Jewelry Gold Plated Necklace Bracelet Earrings Set for Women,https://m.media-amazon.com/images/I/818BnYh9Q8L._AC_SY300_SX300_QL70_FMwebp_.jpg,367770,ring,gold_plated
kendra-scott-elisa-pendant-necklace-for-women-fashion-jewelry-14k-gold-plated,"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated","<p><strong>nan Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated</strong>. Type: Pendant. Material: Gold 14K.</p>",,pendant,"pendant, gold_14k, nan, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,NAN-KENDRASCOT-NA-OS,30,shopify,100,deny,manual,1036610,1243932,TRUE,TRUE,https://m.media-amazon.com/images/I/51dSKjL6BxL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",FALSE,,"Shop Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated by nan. Pendant in Gold 14K.",active,,"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",https://m.media-amazon.com/images/I/51dSKjL6BxL._AC_SY300_SX300_QL70_FMwebp_.jpg,1036610,pendant,gold_14k
womengifts-layered-gold-necklaces-for-women-14k-gold-sterling-silver-plated-dainty-pendant-necklace-set-non-tarnish-chunky-stackable-cuban-chain-choker-trendy-personalized-birthstone-jewelry-gift-for-mom,"WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom","<p><strong>Womengifts WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom</strong>. Type: Pendant. Material: Gold 14K.</p>",Womengifts,pendant,"pendant, gold_14k, womengifts, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,WOMENGIF-WOMENGIFTS-NA-OS,30,shopify,100,deny,manual,390770,468924,TRUE,TRUE,https://m.media-amazon.com/images/I/615sXIJbXsL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom",FALSE,"WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom | Womengifts","Shop WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom by Womengifts. Pendant in Gold 14K.",active,Womengifts,"WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Personalized Birthstone Jewelry Gift for Mom",https://m.media-amazon.com/images/I/615sXIJbXsL._AC_SY300_SX300_QL70_FMwebp_.jpg,390770,pendant,gold_14k
mothers-day-gifts-for-mom-cross-necklace-for-women-girls-dainty-14k-gold-silver-plated-cross-choker-jewelry-non-tarnish-waterproof-cute-simple-small-necklace-christian-baptism-religious-faith-jewelry-gifts,"Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts","<p><strong>Poxtex Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts</strong>. Type: Pendant. Material: Gold 14K.</p>",Poxtex,pendant,"pendant, gold_14k, poxtex, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,POXTEX-MOTHERSDAY-NA-OS,30,shopify,100,deny,manual,298770,358524,TRUE,TRUE,https://m.media-amazon.com/images/I/61sfyFNyeJL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts",FALSE,"Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts | Poxtex","Shop Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts by Poxtex. Pendant in Gold 14K.",active,Poxtex,"Mothers Day Gifts for Mom Cross Necklace for Women Girls, Dainty 14K Gold Silver Plated Cross Choker Jewelry Non Tarnish Waterproof Cute Simple Small Necklace Christian Baptism Religious Faith Jewelry Gifts",https://m.media-amazon.com/images/I/61sfyFNyeJL._AC_SY300_SX300_QL70_FMwebp_.jpg,298770,pendant,gold_14k
fancime-mom-birthstone-necklace-mother-and-child-love-heart-necklace-i-love-you-mom-gifts-mothers-day-birthstone-jewelry-gifts-for-grandmother-women-wife-162-inches,"FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches","<p><strong>Fancime FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches</strong>. Type: Pendant. Material: Metal Alloy.</p>",Fancime,pendant,"pendant, metal_alloy, fancime, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,FANCIME-FANCIMEMOM-NA-OS,30,shopify,100,deny,manual,2529770,3035724,TRUE,TRUE,https://m.media-amazon.com/images/I/61VrLM1XnzL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches",FALSE,"FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches | Fancime","Shop FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches by Fancime. Pendant in Metal Alloy.",active,Fancime,"FANCIME Mom Birthstone Necklace Mother and Child Love Heart Necklace I Love You Mom Gifts Mothers Day Birthstone Jewelry Gifts for Grandmother Women Wife, 16""+2"" Inches",https://m.media-amazon.com/images/I/61VrLM1XnzL._AC_SY300_SX300_QL70_FMwebp_.jpg,2529770,pendant,metal_alloy
leafael-mothers-day-gift-necklaces-for-women-infinity-love-birthstone-heart-crystal-pendant-birthday-anniversary-jewelry-for-wife-mom-and-her-silver-plated-18-2-adjustable-chain,"Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain","<p><strong>Leafael Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain</strong>. Type: Pendant. Material: Silver Plated.</p>",Leafael,pendant,"pendant, silver_plated, leafael, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,LEAFAEL-LEAFAELMOT-NA-OS,30,shopify,100,deny,manual,781540,937848,TRUE,TRUE,https://m.media-amazon.com/images/I/711Mml83XML._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain",FALSE,"Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain | Leafael","Shop Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain by Leafael. Pendant in Silver Plated.",active,Leafael,"Leafael Mothers Day Gift Necklaces for Women, Infinity Love Birthstone Heart Crystal Pendant, Birthday Anniversary Jewelry for Wife, Mom, and Her, Silver Plated, 18"" + 2"" Adjustable Chain",https://m.media-amazon.com/images/I/711Mml83XML._AC_SY300_SX300_QL70_FMwebp_.jpg,781540,pendant,silver_plated
pavoi-14k-gold-plated-crystal-solitaire-15-carat-73mm-cubic-zirconia-dainty-choker-necklace-gold-necklaces-for-women,PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women,<p><strong>Pavoi PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women</strong>. Type: Pendant. Material: Gold 14K.</p>,Pavoi,pendant,"pendant, gold_14k, pavoi, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,PAVOI-PAVOI14KGO-NA-OS,30,shopify,100,deny,manual,309350,371220,TRUE,TRUE,https://m.media-amazon.com/images/I/61KPcuen7IL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women,FALSE,PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women | Pavoi,Shop PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women by Pavoi. Pendant in Gold 14K.,active,Pavoi,PAVOI 14K Gold Plated Crystal Solitaire 1.5 Carat (7.3mm) Cubic Zirconia Dainty Choker Necklace | Gold Necklaces for Women,https://m.media-amazon.com/images/I/61KPcuen7IL._AC_SY300_SX300_QL70_FMwebp_.jpg,309350,pendant,gold_14k
